address,phase
717 E 1 AVE,Phase 4
723 E 1 AVE,Phase 4
727 E 1 AVE,Phase 4
801 E 1 AVE,Phase 4
805 E 1 AVE,Phase 4
915 E 1 AVE,Phase 4
1047 E 1 AVE,Phase 4
1051 E 1 AVE,Phase 4
1123 E 1 AVE,Phase 4
1125 E 1 AVE,Phase 4
718 E 2 AVE,Phase 4
826 E 2 AVE,Phase 4
1014 E 2 AVE,Phase 4
1058 E 2 AVE,Phase 4
1062 E 2 AVE,Phase 4
1108 E 2 AVE,Phase 4
201 S 10 ST,Phase 4
211 S 10 ST,Phase 4
212 S 10 ST,Phase 4
215 S 10 ST,Phase 4
217 S 10 ST,Phase 4
208 S 11 ST,Phase 4
212 S 11 ST,Phase 4
228 S 11 ST,Phase 4
213 S 6 ST,Phase 4
223 S 6 ST,Phase 4
229 S 6 ST,Phase 4
206 S 7 ST,Phase 4
215 S 7 ST,Phase 4
218 S 7 ST,Phase 4
219 S 7 ST,Phase 4
221 S 7 ST,Phase 4
223 S 7 ST,Phase 4
220 S 8 ST,Phase 4
221 S 8 ST,Phase 4
224 S 8 ST,Phase 4
227 S 8 ST,Phase 4
228 S 8 ST,Phase 4
209 S 9 ST,Phase 4
211 S 9 ST,Phase 4
219 S 9 ST,Phase 4
229 S 9 ST,Phase 4
519 E 2 AVE,Phase 5
521 E 2 AVE,Phase 5
523 E 2 AVE,Phase 5
611 E 2 AVE,Phase 5
512 E 3 AVE,Phase 5
523 E 3 AVE,Phase 5
614 E 3 AVE,Phase 5
503 E 4 AVE,Phase 5
504 E 4 AVE,Phase 5
512 E 4 AVE,Phase 5
517 E 4 AVE,Phase 5
615 E 4 AVE,Phase 5
620 E 4 AVE,Phase 5
509 E 5 AVE,Phase 5
520 E 5 AVE,Phase 5
521 E 5 AVE,Phase 5
600 E 5 AVE,Phase 5
601 E 6 AVE,Phase 5
612 E 6 AVE,Phase 5
307 S 4 ST,Phase 5
315 S 4 ST,Phase 5
321 S 4 ST,Phase 5
416 S 4 ST,Phase 5
417 S 4 ST,Phase 5
507 S 4 ST,Phase 5
513 S 4 ST,Phase 5
516 S 4 ST,Phase 5
523 S 4 ST,Phase 5
613 S 4 ST,Phase 5
306 S 5 ST,Phase 5
310 S 5 ST,Phase 5
314 S 5 ST,Phase 5
321 S 5 ST,Phase 5
421 S 5 ST,Phase 5
508 S 5 ST,Phase 5
509 S 5 ST,Phase 5
516 S 5 ST,Phase 5
522 S 5 ST,Phase 5
608 S 5 ST,Phase 5
300 S 6 ST,Phase 5
308 S 6 ST,Phase 5
310 S 6 ST,Phase 5
312 S 6 ST,Phase 5
404 S 6 ST,Phase 5
414 S 6 ST,Phase 5
416 S 6 ST,Phase 5
508 S 6 ST,Phase 5
524 S 6 ST,Phase 5
606 S 6 ST,Phase 5
622 S 6 ST,Phase 5
632 S 6 ST,Phase 5
706 S 6 ST,Phase 5
109 E 6 AVE,Phase 6
204 E 6 AVE,Phase 6
206 E 6 AVE,Phase 6
200 E 8 AVE,Phase 6
120 E 9 AVE,Phase 6
615 S 1 ST,Phase 6
634 S 1 ST,Phase 6
733 S 1 ST,Phase 6
735 S 1 ST,Phase 6
802 S 1 ST,Phase 6
817 S 1 ST,Phase 6
824 S 1 ST,Phase 6
829 S 1 ST,Phase 6
832 S 1 ST,Phase 6
900 S 1 ST,Phase 6
912 S 1 ST,Phase 6
924 S 1 ST,Phase 6
927 S 1 ST,Phase 6
932 S 1 ST,Phase 6
809 S A ST,Phase 6
819 S A ST,Phase 6
927 S A ST,Phase 6
931 S A ST,Phase 6
603 S MAIN ST,Phase 6
617 S MAIN ST,Phase 6
623 S MAIN ST,Phase 6
634 S MAIN ST,Phase 6
700 S MAIN ST,Phase 6
704 S MAIN ST,Phase 6
721 S MAIN ST,Phase 6
800 S MAIN ST,Phase 6
810 S MAIN ST,Phase 6
814 S MAIN ST,Phase 6
823 S MAIN ST,Phase 6
830 S MAIN ST,Phase 6
831 S MAIN ST,Phase 6
900 S MAIN ST,Phase 6
905 S MAIN ST,Phase 6
914 S MAIN ST,Phase 6
918 S MAIN ST,Phase 6
921 S MAIN ST,Phase 6
926 S MAIN ST,Phase 6
927 S MAIN ST,Phase 6
928 S MAIN ST,Phase 6
931 S MAIN ST,Phase 6
108 W 8 AVE,Phase 6
122 W 8 AVE,Phase 6
435 E 10 AVE,Phase 7
522 E 10 AVE,Phase 7
700 E 10 AVE,Phase 7
734 E 10 AVE,Phase 7
739 E 10 AVE,Phase 7
745 E 10 AVE,Phase 7
402 E 11 AVE,Phase 7
510 E 11 AVE,Phase 7
600 E 11 AVE,Phase 7
706 E 8 AVE,Phase 7
707 E 8 AVE,Phase 7
1101 S 3 ST,Phase 7
1109 S 3 ST,Phase 7
1117 S 3 ST,Phase 7
1131 S 3 ST,Phase 7
1011 S 4 ST,Phase 7
1019 S 4 ST,Phase 7
1108 S 4 ST,Phase 7
1110 S 4 ST,Phase 7
1115 S 4 ST,Phase 7
1122 S 4 ST,Phase 7
803 S 5 ST,Phase 7
817 S 5 ST,Phase 7
823 S 5 ST,Phase 7
825 S 5 ST,Phase 7
835 S 5 ST,Phase 7
925 S 5 ST,Phase 7
927 S 5 ST,Phase 7
1006 S 5 ST,Phase 7
1007 S 5 ST,Phase 7
1021 S 5 ST,Phase 7
1100 S 5 ST,Phase 7
1101 S 5 ST,Phase 7
1108 S 5 ST,Phase 7
1109 S 5 ST,Phase 7
1115 S 5 ST,Phase 7
1120 S 5 ST,Phase 7
1126 S 5 ST,Phase 7
1140 S 5 ST,Phase 7
808 S 6 ST,Phase 7
826 S 6 ST,Phase 7
917 S 6 ST,Phase 7
921 S 6 ST,Phase 7
930 S 6 ST,Phase 7
933 S 6 ST,Phase 7
1002 S 6 ST,Phase 7
1005 S 6 ST,Phase 7
1032 S 6 ST,Phase 7
1108 S 6 ST,Phase 7
1118 S 6 ST,Phase 7
1124 S 6 ST,Phase 7
1128 S 6 ST,Phase 7
712 S C ST,Phase 8
804 S C ST,Phase 8
812 S C ST,Phase 8
818 S C ST,Phase 8
1114 S C ST,Phase 8
1130 S C ST,Phase 8
703 S D ST,Phase 8
708 S D ST,Phase 8
808 S D ST,Phase 8
818 S D ST,Phase 8
824 S D ST,Phase 8
835 S D ST,Phase 8
900 S D ST,Phase 8
926 S D ST,Phase 8
1102 S D ST,Phase 8
1107 S D ST,Phase 8
1108 S D ST,Phase 8
1113 S D ST,Phase 8
1115 S D ST,Phase 8
1118 S D ST,Phase 8
1124 S D ST,Phase 8
1220 S D ST,Phase 8
1300 S D ST,Phase 8
1314 S D ST,Phase 8
1418 S D ST,Phase 8
1420 S D ST,Phase 8
1226 S E ST,Phase 8
1302 S E ST,Phase 8
1306 S E ST,Phase 8
1400 S E ST,Phase 8
805 S SUNNY LN,Phase 8
900 S SUNNY LN,Phase 8
904 S SUNNY LN,Phase 8
417 W 11 AVE,Phase 8
501 W 11 AVE,Phase 8
515 W 11 AVE,Phase 8
516 W 11 AVE,Phase 8
520 W 11 AVE,Phase 8
601 W 11 AVE,Phase 8
411 W 6 AVE,Phase 8
521 W 6 AVE,Phase 8
1205 BIRCHWOOD DR,Phase 9
1011 E 5 AVE,Phase 9
1021 E 5 AVE,Phase 9
1035 E 5 AVE,Phase 9
1041 E 5 AVE,Phase 9
1056 E 5 AVE,Phase 9
1060 E 5 AVE,Phase 9
1109 E 5 AVE,Phase 9
1110 E 5 AVE,Phase 9
1117 E 5 AVE,Phase 9
1118 E 5 AVE,Phase 9
1123 E 5 AVE,Phase 9
1127 E 5 AVE,Phase 9
905 E 6 AVE,Phase 9
1033 E 6 AVE,Phase 9
1038 E 6 AVE,Phase 9
1040 E 6 AVE,Phase 9
1055 E 6 AVE,Phase 9
1113 E 6 AVE,Phase 9
1119 E 6 AVE,Phase 9
1120 E 6 AVE,Phase 9
1122 E 6 AVE,Phase 9
1123 E 6 AVE,Phase 9
1131 E 6 AVE,Phase 9
1132 E 6 AVE,Phase 9
1139 E 6 AVE,Phase 9
1140 E 6 AVE,Phase 9
1152 E 6 AVE,Phase 9
904 E 7 AVE,Phase 9
906 E 7 AVE,Phase 9
908 E 7 AVE,Phase 9
1117 E 7 AVE,Phase 9
1126 E 7 AVE,Phase 9
523 S 10 ST,Phase 9
608 S 10 ST,Phase 9
615 S 10 ST,Phase 9
609 S 11 ST,Phase 9
615 S 11 ST,Phase 9
621 S 11 ST,Phase 9
623 S 11 ST,Phase 9
625 S 11 ST,Phase 9
627 S 11 ST,Phase 9
629 S 11 ST,Phase 9
700 S 11 ST,Phase 9
701 S 11 ST,Phase 9
703 S 11 ST,Phase 9
705 S 11 ST,Phase 9
707 S 11 ST,Phase 9
709 S 11 ST,Phase 9
724 S 11 ST,Phase 9
623 S 8 ST,Phase 9
614 S 9 ST,Phase 9
615 S 9 ST,Phase 9
620 S 9 ST,Phase 9
621 S 9 ST,Phase 9
214 N 1 ST,Phase 10
215 N 1 ST,Phase 10
218 N 1 ST,Phase 10
219 N 1 ST,Phase 10
302 N 1 ST,Phase 10
303 N 1 ST,Phase 10
306 N 1 ST,Phase 10
309 N 1 ST,Phase 10
310 N 1 ST,Phase 10
311 N 1 ST,Phase 10
315 N 1 ST,Phase 10
318 N 1 ST,Phase 10
327 N 1 ST,Phase 10
200 N H ST,Phase 10
310 N H ST,Phase 10
102 N I ST,Phase 10
104 N I ST,Phase 10
106 N I ST,Phase 10
204 N I ST,Phase 10
206 N I ST,Phase 10
208 N I ST,Phase 10
209 N I ST,Phase 10
212 N I ST,Phase 10
309 N I ST,Phase 10
316 N I ST,Phase 10
317 N I ST,Phase 10
105 N SUNNY LN,Phase 10
123 N SUNNY LN,Phase 10
205 N SUNNY LN,Phase 10
206 N SUNNY LN,Phase 10
209 N SUNNY LN,Phase 10
907 W ARCHER AVE,Phase 10
912 W ARCHER AVE,Phase 10
915 W ARCHER AVE,Phase 10
916 W ARCHER AVE,Phase 10
919 W ARCHER AVE,Phase 10
921 W ARCHER AVE,Phase 10
922 W ARCHER AVE,Phase 10
903 W BOSTON AVE,Phase 10
905 W BOSTON AVE,Phase 10
907 W BOSTON AVE,Phase 10
910 W BOSTON AVE,Phase 10
917 W BOSTON AVE,Phase 10
1010 W BOSTON AVE,Phase 10
1104 W BOSTON AVE,Phase 10
902 W BROADWAY,Phase 10
904 W BROADWAY,Phase 10
918 W BROADWAY,Phase 10
1000 W BROADWAY,Phase 10
1112 W BROADWAY,Phase 10
919 W CLINTON AVE,Phase 10
502 COLLEGE MANOR,Phase 11
518 COLLEGE MANOR,Phase 11
1024 CRAMER CT,Phase 11
1025 CRAMER CT,Phase 11
1026 CRAMER CT,Phase 11
1028 CRAMER CT,Phase 11
1030 CRAMER CT,Phase 11
1017 E BOSTON AVE,Phase 11
1020 E BOSTON AVE,Phase 11
1031 E BOSTON AVE,Phase 11
1035 E BOSTON AVE,Phase 11
1036 E BOSTON AVE,Phase 11
1042 E BOSTON AVE,Phase 11
1110 E BOSTON AVE,Phase 11
1020 E BROADWAY,Phase 11
1026 E BROADWAY,Phase 11
1030 E BROADWAY,Phase 11
1102 E BROADWAY,Phase 11
1020 E DETROIT AVE,Phase 11
1021 E DETROIT AVE,Phase 11
1029 E DETROIT AVE,Phase 11
1031 E DETROIT AVE,Phase 11
1043 E DETROIT AVE,Phase 11
1103 E DETROIT AVE,Phase 11
1111 E DETROIT AVE,Phase 11
1035 E EUCLID AVE,Phase 11
1045 E EUCLID AVE,Phase 11
1051 E EUCLID AVE,Phase 11
1111 E EUCLID AVE,Phase 11
114 N 10 ST,Phase 11
214 N 10 ST,Phase 11
246 N 10 ST,Phase 11
317 N 10 ST,Phase 11
330 N 10 ST,Phase 11
407 N 10 ST,Phase 11
408 N 10 ST,Phase 11
410 N 10 ST,Phase 11
415 N 10 ST,Phase 11
510 N 10 ST,Phase 11
512 N 10 ST,Phase 11
515 N 10 ST,Phase 11
518 N 10 ST,Phase 11
208 E ARCHER AVE,Phase 12
212 E ARCHER AVE,Phase 12
210 E BOSTON AVE,Phase 12
215 E BOSTON AVE,Phase 12
201 E BROADWAY,Phase 12
310 E BROADWAY,Phase 12
316 E CLINTON AVE,Phase 12
204 E DETROIT AVE,Phase 12
303 E DETROIT AVE,Phase 12
310 E DETROIT AVE,Phase 12
315 E DETROIT AVE,Phase 12
316 E DETROIT AVE,Phase 12
111 E EUCLID AVE,Phase 12
219 E EUCLID AVE,Phase 12
504 N 1 ST,Phase 12
508 N 1 ST,Phase 12
515 N 1 ST,Phase 12
519 N 1 ST,Phase 12
525 N 1 ST,Phase 12
526 N 1 ST,Phase 12
125 N 2 ST,Phase 12
200 N 2 ST,Phase 12
207 N 2 ST,Phase 12
213 N 2 ST,Phase 12
215 N 2 ST,Phase 12
304 N 2 ST,Phase 12
305 N 2 ST,Phase 12
309 N 2 ST,Phase 12
310 N 2 ST,Phase 12
317 N 2 ST,Phase 12
318 N 2 ST,Phase 12
323 N 2 ST,Phase 12
324 N 2 ST,Phase 12
327 N 2 ST,Phase 12
402 N 2 ST,Phase 12
409 N 2 ST,Phase 12
416 N 2 ST,Phase 12
427 N 2 ST,Phase 12
428 N 2 ST,Phase 12
120 N 3 ST,Phase 12
202 N 3 ST,Phase 12
214 N 3 ST,Phase 12
222 N 3 ST,Phase 12
316 N 3 ST,Phase 12
416 N 3 ST,Phase 12
428 N 3 ST,Phase 12
511 N MAIN ST,Phase 12
400 N A ST,Phase 13
410 N A ST,Phase 13
401 N B ST,Phase 13
403 N B ST,Phase 13
407 N B ST,Phase 13
408 N B ST,Phase 13
409 N B ST,Phase 13
417 N B ST,Phase 13
421 N B ST,Phase 13
422 N B ST,Phase 13
424 N B ST,Phase 13
508 N B ST,Phase 13
518 N B ST,Phase 13
302 N C ST,Phase 13
401 N C ST,Phase 13
402 N C ST,Phase 13
411 N C ST,Phase 13
418 N C ST,Phase 13
423 N C ST,Phase 13
430 N C ST,Phase 13
512 N C ST,Phase 13
514 N C ST,Phase 13
515 N C ST,Phase 13
521 N C ST,Phase 13
526 N C ST,Phase 13
322 N D ST,Phase 13
324 N D ST,Phase 13
329 N D ST,Phase 13
400 N D ST,Phase 13
403 N D ST,Phase 13
412 N D ST,Phase 13
415 N D ST,Phase 13
421 N D ST,Phase 13
502 N D ST,Phase 13
515 N D ST,Phase 13
516 N D ST,Phase 13
519 N D ST,Phase 13
421 N E ST,Phase 13
427 N E ST,Phase 13
505 N E ST,Phase 13
521 N E ST,Phase 13
412 W BOSTON AVE,Phase 13
508 W BOSTON AVE,Phase 13
214 W CLINTON AVE,Phase 13
218 W CLINTON AVE,Phase 13
417 W CLINTON AVE,Phase 13
524 W CLINTON AVE,Phase 13
215 W DETROIT AVE,Phase 13
217 W DETROIT AVE,Phase 13
300 W DETROIT AVE,Phase 13
310 W DETROIT AVE,Phase 13
320 W DETROIT AVE,Phase 13
416 W DETROIT AVE,Phase 13
511 W DETROIT AVE,Phase 13
522 W DETROIT AVE,Phase 13
317 W EUCLID AVE,Phase 13
319 W EUCLID AVE,Phase 13
600 N B ST,Phase 14
611 N B ST,Phase 14
613 N B ST,Phase 14
622 N B ST,Phase 14
702 N B ST,Phase 14
707 N B ST,Phase 14
711 N B ST,Phase 14
719 N B ST,Phase 14
723 N B ST,Phase 14
813 N B ST,Phase 14
816 N B ST,Phase 14
830 N B ST,Phase 14
615 N C ST,Phase 14
721 N C ST,Phase 14
800 N C ST,Phase 14
804 N C ST,Phase 14
806 N C ST,Phase 14
807 N C ST,Phase 14
808 N C ST,Phase 14
810 N C ST,Phase 14
813 N C ST,Phase 14
819 N C ST,Phase 14
820 N C ST,Phase 14
829 N C ST,Phase 14
831 N C ST,Phase 14
615 N D ST,Phase 14
716 N D ST,Phase 14
720 N D ST,Phase 14
800 N D ST,Phase 14
801 N D ST,Phase 14
807 N D ST,Phase 14
808 N D ST,Phase 14
809 N D ST,Phase 14
812 N D ST,Phase 14
816 N D ST,Phase 14
818 N D ST,Phase 14
820 N D ST,Phase 14
821 N D ST,Phase 14
823 N D ST,Phase 14
827 N D ST,Phase 14
840 N D ST,Phase 14
320 W EUCLID AVE,Phase 14
219 W FRANKLIN AVE,Phase 14
220 W FRANKLIN AVE,Phase 14
221 W FRANKLIN AVE,Phase 14
223 W FRANKLIN AVE,Phase 14
411 W FRANKLIN AVE,Phase 14
216 W GIRARD AVE,Phase 14
306 W GIRARD AVE,Phase 14
423 W HARLEM AVE,Phase 14
406 E FRANKLIN AVE,Phase 15
412 E FRANKLIN AVE,Phase 15
502 E FRANKLIN AVE,Phase 15
522 E FRANKLIN AVE,Phase 15
614 E FRANKLIN AVE,Phase 15
316 E GIRARD AVE,Phase 15
404 E GIRARD AVE,Phase 15
408 E GIRARD AVE,Phase 15
411 E GIRARD AVE,Phase 15
412 E GIRARD AVE,Phase 15
416 E GIRARD AVE,Phase 15
417 E GIRARD AVE,Phase 15
421 E GIRARD AVE,Phase 15
401 E HARLEM AVE,Phase 15
405 E HARLEM AVE,Phase 15
409 E HARLEM AVE,Phase 15
601 E HARLEM AVE,Phase 15
714 N 3 ST,Phase 15
715 N 3 ST,Phase 15
718 N 3 ST,Phase 15
719 N 3 ST,Phase 15
721 N 3 ST,Phase 15
801 N 3 ST,Phase 15
804 N 3 ST,Phase 15
811 N 3 ST,Phase 15
815 N 3 ST,Phase 15
830 N 3 ST,Phase 15
715 N 5 ST,Phase 15
717 N 5 ST,Phase 15
719 N 5 ST,Phase 15
720 N 5 ST,Phase 15
702 N 6 ST,Phase 15
800 N 6 ST,Phase 15
806 N 6 ST,Phase 15
818 N 6 ST,Phase 15
668 210TH AVE,Phase 16
698 210TH AVE,Phase 16
1100 E JACKSON AVE,Phase 16
1112 E JACKSON AVE,Phase 16
1120 KIMBERLY DR,Phase 16
1124 KIMBERLY DR,Phase 16
1125 KIMBERLY DR,Phase 16
1126 KIMBERLY DR,Phase 16
1128 KIMBERLY DR,Phase 16
1129 KIMBERLY DR,Phase 16
1131 KIMBERLY DR,Phase 16
1133 KIMBERLY DR,Phase 16
202 MAPLE CITY DR,Phase 16
1110 N 11 ST,Phase 16
1207 N 11 ST,Phase 16
1018 N 6 ST,Phase 16
1120 N 6 ST,Phase 16
1121 N 6 ST,Phase 16
1223 N 6 ST,Phase 16
1291 N 6 ST,Phase 16
1198 N MAIN ST,Phase 16
1200 N MAIN ST,Phase 16
1202 N MAIN ST,Phase 16
1225 N MAIN ST,Phase 16
1301 N MAIN ST,Phase 16
1410 N MAIN ST,Phase 16
1416 N MAIN ST,Phase 16
1420 N MAIN ST,Phase 16
614 N PARK PLACE,Phase 16
620 N PARK PLACE,Phase 16
626 N PARK PLACE,Phase 16
2058 US HIGHWAY 67,Phase 16
2066 US HIGHWAY 67,Phase 16
2070 US HIGHWAY 67,Phase 16
2101 US HIGHWAY 67,Phase 16